Rodada;Data;Horário;Time da casa;Time da casa.1;Time visitante;Time visitante.1;Sistema de jogo;Treinadores;Público;Resultado;Unnamed: 11;Unnamed: 12;REF_GESTAO
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Julio Casares (2021-Presente)
10;dom 02/05/21;22:15;;Corinthians;;São Paulo;3-5-2;Hernán Crespo;x;2:2;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
Grupo E;qua 05/05/21;19:00;;Racing;;São Paulo;3-4-1-2;Hernán Crespo;x;0:0;;;Julio Casares (2021-Presente)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Julio Casares (2021-Presente)
12;dom 09/05/21;16:00;;Mirassol;;São Paulo;3-5-2 plano;Hernán Crespo;x;1:1;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
Grupo E;qua 12/05/21;19:00;;Rentistas;;São Paulo;3-4-1-2;Hernán Crespo;x;1:1;;;Julio Casares (2021-Presente)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Julio Casares (2021-Presente)
quartas de final;sex 14/05/21;21:30;;São Paulo;;Ferroviária;3-4-3 plano;Hernán Crespo;;4:2;;;Julio Casares (2021-Presente)
semifinais;dom 16/05/21;20:30;;São Paulo;;Mirassol;3-4-3 plano;Hernán Crespo;x;4:0;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
Grupo E;ter 18/05/21;21:30;;São Paulo;;Racing;3-5-2 ofensivo;Hernán Crespo;x;0:1;;;Julio Casares (2021-Presente)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Julio Casares (2021-Presente)
final - jogo de ida;qui 20/05/21;22:00;;Palmeiras;;São Paulo;3-4-3 plano;Hernán Crespo;x;0:0;;;Julio Casares (2021-Presente)
final - jogo de volta;dom 23/05/21;16:00;;São Paulo;;Palmeiras;3-5-2;Hernán Crespo;x;2:0;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
Grupo E;ter 25/05/21;21:30;;São Paulo;;Sport. Cristal;3-4-1-2;Hernán Crespo;x;3:0;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
1;sáb 29/05/21;21:00;;São Paulo (13.);;Fluminense (7.);3-5-2;Hernán Crespo;x;0:0;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
3ª eliminatória - jogos de ida;ter 01/06/21;21:30;;4 de Julho;;São Paulo;4-2-3-1;Hernán Crespo;x;3:2;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
2;sáb 05/06/21;19:00;;Atlético-GO (6.);;São Paulo (13.);3-5-2;Hernán Crespo;x;2:0;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
3ª eliminatória - jogos de volta;ter 08/06/21;19:00;;São Paulo;;4 de Julho;3-5-2;Hernán Crespo;x;9:1;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
3;dom 13/06/21;16:00;;Atlético-MG (9.);;São Paulo (16.);3-5-2;Hernán Crespo;x;1:0;;;Julio Casares (2021-Presente)
4;qua 16/06/21;19:00;;São Paulo (18.);;Chapecoense (19.);4-2-3-1;Hernán Crespo;x;1:1;;;Julio Casares (2021-Presente)
5;dom 20/06/21;18:15;;Santos (14.);;São Paulo (16.);3-5-2;Hernán Crespo;x;2:0;;;Julio Casares (2021-Presente)
6;qua 23/06/21;19:00;;São Paulo (19.);;Cuiabá (11.);3-5-2;Hernán Crespo;x;2:2;;;Julio Casares (2021-Presente)
7;dom 27/06/21;20:30;;Ceará (12.);;São Paulo (18.);3-1-4-2;Hernán Crespo;x;1:1;;;Julio Casares (2021-Presente)
8;qua 30/06/21;21:30;;Corinthians (11.);;São Paulo (18.);3-5-2 plano;Hernán Crespo;x;0:0;;;Julio Casares (2021-Presente)
9;dom 04/07/21;18:15;;São Paulo (19.);;Bragantino (1.);3-4-1-2;Hernán Crespo;x;1:2;;;Julio Casares (2021-Presente)
10;qua 07/07/21;21:30;;Internacional (14.);;São Paulo (19.);3-1-4-2;Hernán Crespo;x;0:2;;;Julio Casares (2021-Presente)
11;sáb 10/07/21;19:00;;São Paulo (17.);;Bahia (6.);3-5-2 plano;Hernán Crespo;x;1:0;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
Oitavas de final - Jogos de ida;ter 13/07/21;21:30;;São Paulo;;Racing;3-4-1-2;Hernán Crespo;x;1:1;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
12;sáb 17/07/21;17:00;;São Paulo (14.);;Fortaleza (4.);3-1-4-2;Hernán Crespo;x;0:1;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
Oitavas de final - Jogos de volta;ter 20/07/21;21:30;;Racing;;São Paulo;3-1-4-2;Hernán Crespo;x;1:3;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
13;dom 25/07/21;16:00;;Flamengo (6.);;São Paulo (16.);3-5-2 plano;Hernán Crespo;x;5:1;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
Oitavas de final - Jogos de ida;qua 28/07/21;21:30;;São Paulo;;Vasco da Gama;3-1-4-2;Hernán Crespo;x;2:0;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
14;sáb 31/07/21;19:00;;São Paulo (18.);;Palmeiras (1.);4-4-2;Hernán Crespo;x;0:0;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
Oitavas de final - Jogos de volta;qua 04/08/21;21:30;;Vasco da Gama;;São Paulo;3-1-4-2;Hernán Crespo;;1:2;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
15;sáb 07/08/21;18:00;;Athletico-PR (6.);;São Paulo (17.);4-2-3-1;Hernán Crespo;x;1:2;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
Quartas de final - Jogos de ida;ter 10/08/21;21:30;;São Paulo;;Palmeiras;4-4-2;Hernán Crespo;;1:1;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
16;sáb 14/08/21;21:00;;São Paulo (16.);;Grêmio (17.);3-4-1-2;Hernán Crespo;x;2:1;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
quartas de final - Jogos de volta;ter 17/08/21;21:30;;Palmeiras;;São Paulo;4-4-2;Hernán Crespo;x;3:0;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
17;dom 22/08/21;20:30;;Sport (17.);;São Paulo (15.);4-2-3-1;Hernán Crespo;x;0:1;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
Quartas de final - Jogos de ida;qua 25/08/21;21:30;;São Paulo;;Fortaleza;4-3-3 ofensivo;Hernán Crespo;;2:2;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
18;dom 29/08/21;16:00;;Juventude (12.);;São Paulo (13.);3-4-1-2;Hernán Crespo;x;1:1;;;Julio Casares (2021-Presente)
20;dom 12/09/21;20:30;;Fluminense (8.);;São Paulo (14.);3-4-1-2;Hernán Crespo;x;2:1;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
quartas de final - Jogos de volta;qua 15/09/21;21:30;;Fortaleza;;São Paulo;3-4-1-2;Hernán Crespo;;3:1;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
21;dom 19/09/21;16:00;;São Paulo (15.);;Atlético-GO (10.);4-3-3 ofensivo;Hernán Crespo;;2:1;;;Julio Casares (2021-Presente)
19;qua 22/09/21;20:30;;São Paulo (14.);;América-MG (17.);4-2-3-1;Hernán Crespo;x;0:0;;;Julio Casares (2021-Presente)
22;sáb 25/09/21;21:00;;São Paulo (11.);;Atlético-MG (1.);3-4-1-2;Hernán Crespo;x;0:0;;;Julio Casares (2021-Presente)
23;dom 03/10/21;16:00;;Chapecoense (20.);;São Paulo (12.);3-4-3 plano;Hernán Crespo;973;1:1;;;Julio Casares (2021-Presente)
24;qui 07/10/21;18:30;;São Paulo (13.);;Santos (16.);4-2-3-1;Hernán Crespo;5.529;1:1;;;Julio Casares (2021-Presente)
25;seg 11/10/21;20:00;;Cuiabá (12.);;São Paulo (14.);4-2-3-1;Hernán Crespo;13.007;0:0;;;Julio Casares (2021-Presente)
26;qui 14/10/21;19:00;;São Paulo (15.);;Ceará (14.);4-2-3-1;Rogério Ceni;9.371;1:1;;;Julio Casares (2021-Presente)
27;seg 18/10/21;20:00;;São Paulo (15.);;Corinthians (7.);4-3-1-2;Rogério Ceni;23.874;1:0;;;Julio Casares (2021-Presente)
28;dom 24/10/21;18:15;;Bragantino (5.);;São Paulo (12.);4-4-2 losango;Rogério Ceni;4.345;1:0;;;Julio Casares (2021-Presente)
29;dom 31/10/21;18:15;;São Paulo (13.);;Internacional (6.);3-5-2;Rogério Ceni;19.867;1:0;;;Julio Casares (2021-Presente)
30;dom 07/11/21;18:15;;Bahia (16.);;São Paulo (12.);3-5-2 plano;Rogério Ceni;18.178;1:0;;;Julio Casares (2021-Presente)
31;qua 10/11/21;21:30;;Fortaleza (4.);;São Paulo (14.);3-5-2 plano;Rogério Ceni;16.261;1:1;;;Julio Casares (2021-Presente)
32;dom 14/11/21;16:00;;São Paulo (15.);;Flamengo (3.);4-2-3-1;Rogério Ceni;47.855;0:4;;;Julio Casares (2021-Presente)
33;qua 17/11/21;20:30;;Palmeiras (3.);;São Paulo (15.);4-3-3 ofensivo;Rogério Ceni;35.570;0:2;;;Julio Casares (2021-Presente)
34;qua 24/11/21;21:30;;São Paulo (14.);;Athletico-PR (13.);4-4-2;Rogério Ceni;43.491;0:0;;;Julio Casares (2021-Presente)
36;sáb 27/11/21;21:30;;São Paulo (16.);;Sport (19.);4-4-2;Rogério Ceni;35.679;2:0;;;Julio Casares (2021-Presente)
35;qui 02/12/21;20:00;;Grêmio (18.);;São Paulo (14.);4-5-1;Rogério Ceni;9.312;3:0;;;Julio Casares (2021-Presente)
37;seg 06/12/21;19:00;;São Paulo (14.);;Juventude (15.);4-3-3 ofensivo;Rogério Ceni;40.442;3:1;;;Julio Casares (2021-Presente)
38;qui 09/12/21;21:30;;América-MG (8.);;São Paulo (13.);3-4-1-2;Rogério Ceni;9.484;2:0;;;Julio Casares (2021-Presente)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Julio Casares (2021-Presente)
1;qui 27/01/22;22:30;;Guarani;;São Paulo;4-3-3 ofensivo;Rogério Ceni;5.458;2:1;;;Julio Casares (2021-Presente)
2;dom 30/01/22;16:00;;São Paulo;;Ituano;4-3-3 ofensivo;Rogério Ceni;16.312;0:0;;;Julio Casares (2021-Presente)
3;qui 03/02/22;21:30;;Bragantino;;São Paulo;4-3-3 ofensivo;Rogério Ceni;3.523;4:3;;;Julio Casares (2021-Presente)
5;qua 09/02/22;19:00;;São Paulo;;Santo André;4-4-2;Rogério Ceni;14.918;1:0;;;Julio Casares (2021-Presente)
6;dom 13/02/22;18:30;;Ponte Preta;;São Paulo;4-3-3 ofensivo;Rogério Ceni;5.404;1:2;;;Julio Casares (2021-Presente)
7;qui 17/02/22;21:30;;São Paulo;;Inter Limeira;4-3-3 ofensivo;Rogério Ceni;15.090;0:0;;;Julio Casares (2021-Presente)
8;dom 20/02/22;18:30;;Santos;;São Paulo;4-3-3 ofensivo;Rogério Ceni;9.553;0:3;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
1ª eliminatória;qua 23/02/22;21:30;;Campinense;;São Paulo;4-3-1-2;Rogério Ceni;5.120;0:0;;;Julio Casares (2021-Presente)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Julio Casares (2021-Presente)
9;seg 28/02/22;15:00;;Água Santa;;São Paulo;4-4-2;Rogério Ceni;6.028;1:2;;;Julio Casares (2021-Presente)
10;sáb 05/03/22;16:00;;São Paulo;;Corinthians;4-4-2;Rogério Ceni;39.213;1:0;;;Julio Casares (2021-Presente)
4;qui 10/03/22;20:30;;São Paulo;;Palmeiras;4-2-3-1;Rogério Ceni;;0:1;;;Julio Casares (2021-Presente)
11;dom 13/03/22;16:00;;Mirassol;;São Paulo;4-4-2;Rogério Ceni;11.729;0:3;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
2ª eliminatória;qua 16/03/22;21:30;;São Paulo;;Manaus;4-3-3 defensivo;Rogério Ceni;17.644;2:0;;;Julio Casares (2021-Presente)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Julio Casares (2021-Presente)
12;sáb 19/03/22;16:00;;São Paulo;;Botafogo-SP;4-4-2;Rogério Ceni;;2:1;;;Julio Casares (2021-Presente)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Julio Casares (2021-Presente)
quartas de final;ter 22/03/22;21:30;;São Paulo;;São Bernardo;4-4-2 duplo 6;Rogério Ceni;29.731;4:1;;;Julio Casares (2021-Presente)
semifinais;dom 27/03/22;16:00;;São Paulo;;Corinthians;4-4-2 duplo 6;Rogério Ceni;53.924;2:1;;;Julio Casares (2021-Presente)
final - jogo de ida;qua 30/03/22;21:40;;São Paulo;;Palmeiras;4-4-2 duplo 6;Rogério Ceni;60.383;3:1;;;Julio Casares (2021-Presente)
final - jogo de volta;dom 03/04/22;16:00;;Palmeiras;;São Paulo;4-4-2 duplo 6;Rogério Ceni;;4:0;;;Julio Casares (2021-Presente)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Julio Casares (2021-Presente)
Grupo D;qui 07/04/22;21:30;;Ayacucho FC;;São Paulo;4-3-3 ofensivo;Rogério Ceni;x;2:3;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
1;dom 10/04/22;19:00;;São Paulo (9.);;Athletico-PR (6.);4-1-3-2;Rogério Ceni;20.606;4:0;;;Julio Casares (2021-Presente)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Julio Casares (2021-Presente)
Grupo D;qui 14/04/22;19:15;;São Paulo;;Everton;4-1-3-2;Rogério Ceni;30.307;2:0;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
2;dom 17/04/22;16:00;;Flamengo (11.);;São Paulo (1.);4-2-3-1;Rogério Ceni;54.686;3:1;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
3ª eliminatória - jogos de ida;qua 20/04/22;18:30;;Juventude;;São Paulo;4-3-3 ofensivo;Rogério Ceni;6.092;2:2;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
3;sáb 23/04/22;16:30;;Bragantino (3.);;São Paulo (7.);4-3-3 ofensivo;Rogério Ceni;8.040;1:1;;;Julio Casares (2021-Presente)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Julio Casares (2021-Presente)
Grupo D;qui 28/04/22;19:15;;Wilstermann;;São Paulo;4-1-3-2;Rogério Ceni;;1:3;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
4;seg 02/05/22;20:00;;São Paulo (10.);;Santos (1.);4-4-2;Rogério Ceni;36.746;2:1;;;Julio Casares (2021-Presente)
